"題目","選項A","選項B","選項C","選項D","選項E","正確答案","答對回饋語","答錯回饋語"
"下列哪一個成語用來形容「多此一舉，做了不必要的事」？","畫龍點睛","畫蛇添足","井底之蛙","半途而廢","錦上添花","畫蛇添足","Bingo！","再接再厲！"
"「他做事總是□□□□，難怪大家都不放心。」空格中適合填入哪個成語？","小心翼翼","粗心大意","全神貫注","堅持到底","聚精會神","粗心大意","好厲害！","可惜錯了！"
"下列詞語中，哪一個沒有錯別字？","再接再勵","迫不急待","興高采烈","默守成規","委曲求全","興高采烈","好厲害！","再接再厲！"
"「勉強」的「強」字，注音應該念什麼？","ㄑㄧㄤˊ ","ㄑㄧㄤˇ ","ㄐㄧㄤˋ ","ㄑㄧㄤ","ㄇㄧㄢˇ","ㄑㄧㄤˇ","完全正確！","再試試看！"
"「忐忑不安」是用來形容心情如何？","非常開心","非常生氣","平靜安穩","心裡七上八下","非常難過","心裡七上八下","答對了！","再接再厲！"
"下列哪一個詞語的意思和「謙虛」相反？","驕傲","誠實","客氣","禮貌","謙卑","驕傲","太強了！","再想一下！"
"「一□馬、一□畫、一□筆」，空格中依序應填入哪些量詞？","隻/張/隻","匹/幅/枝","頭/張/條","匹/張/枝","條/幅/枝","匹/幅/枝","Bingo！","再接再厲！"
"下列哪一句話使用了「擬人」修辭？","春風溫柔地撫摸著大地","他長得像爸爸一樣高","太陽大得像一顆火球","這西瓜甜得像蜜","媽媽像天使","春風溫柔地撫摸著大地","完全正確！","不對喔！"
"「曇花一現」是用來比喻什麼？","花開得很茂盛","事物美好但時間短暫","天氣變化很大","時間過得很慢","運氣很好","事物美好但時間短暫","正解！","再想一下！"
"下列哪一個成語形容「見識狹窄」？","博學多聞","井底之蛙","高瞻遠矚","學富五車","學識淵博","井底之蛙","沒錯！","再想一下！"
"「即使下雨，我也要去。」句中的「即使」可以用哪個詞替換？","既然","可是","但是","縱使","還有","縱使","太強了！","可惜錯了！"
"成語「目不轉睛」是用來形容什麼？","眼睛生病了","非常專注地看","眼睛轉來轉去","不想看東西","眼睛很痛","非常專注地看","Bingo！","可惜錯了！"
"下列哪一個字的部首錯誤？","「河」是水部","「林」是木部","「想」是心部","「問」是言部","「視」是見部","「問」是言部","正解！","再試試看！"
"「他高興得飛了起來」這句話使用了什麼修辭？","誇飾","譬喻","轉化","設問","排比","誇飾","沒錯！","再接再厲！"
"下列哪一組詞語是「相似詞」？","巨大 / 渺小","勤勞 / 懶惰","猶豫 / 遲疑","快樂 / 悲傷","聰明 / 愚笨","猶豫 / 遲疑","完全正確！","再試試看！"